,State,County,Year,Deaths,Population,Treatment,death_prop
398,Florida,Sarasota,2009,75.0,369765.0,Treatment,0.00020283152813273296
399,Florida,Sarasota,2010,83.0,379448.0,Treatment,0.00021873879951930174
400,Florida,Sarasota,2011,84.0,381485.0,Treatment,0.00022019214385886733
401,Florida,Sarasota,2012,71.0,386028.0,Treatment,0.00018392448216191572
402,Florida,Sarasota,2013,67.0,390105.0,Treatment,0.00017174863177862372
403,Florida,Sarasota,2014,54.0,397024.0,Treatment,0.00013601192874989926
404,Florida,Sarasota,2015,96.0,405549.0,Treatment,0.00023671615513785017
405,Florida,Seminole,2003,33.0,385706.0,Treatment,8.555739345511866e-05
406,Florida,Seminole,2004,23.0,392099.0,Treatment,5.8658655084557725e-05
407,Florida,Seminole,2005,41.0,402834.0,Treatment,0.00010177889651816877
408,Florida,Seminole,2006,47.0,408464.0,Treatment,0.00011506521994594383
409,Florida,Seminole,2007,49.0,408308.0,Treatment,0.0001200074453598754
410,Florida,Seminole,2008,41.0,410658.0,Treatment,9.983976934578165e-05
411,Florida,Seminole,2009,72.0,413204.0,Treatment,0.00017424807117065664
412,Florida,Seminole,2010,61.0,422718.0,Treatment,0.00014430424065216055
413,Florida,Seminole,2011,60.0,427037.0,Treatment,0.00014050304774527734
414,Florida,Seminole,2012,40.0,431360.0,Treatment,9.27299703264095e-05
415,Florida,Seminole,2013,45.0,436654.0,Treatment,0.00010305642453750567
416,Florida,Seminole,2014,49.0,442533.0,Treatment,0.00011072620572929025
417,Florida,Seminole,2015,63.0,449144.0,Treatment,0.0001402668186594945
418,Florida,St. Johns,2004,10.0,151916.0,Treatment,6.582585112825509e-05
419,Florida,St. Johns,2006,11.0,168762.0,Treatment,6.518055012384304e-05
420,Florida,St. Johns,2007,13.0,175818.0,Treatment,7.394009714591225e-05
421,Florida,St. Johns,2009,11.0,187436.0,Treatment,5.868669839305149e-05
422,Florida,St. Johns,2010,15.0,190039.0,Treatment,7.893116676050705e-05
423,Florida,St. Johns,2011,19.0,196019.0,Treatment,9.692937929486427e-05
424,Florida,St. Johns,2012,13.0,202241.0,Treatment,6.4279745452208e-05
425,Florida,St. Johns,2013,11.0,209532.0,Treatment,5.24979478074948e-05
426,Florida,St. Johns,2014,17.0,218043.0,Treatment,7.796627270767692e-05
427,Florida,St. Johns,2015,17.0,226640.0,Treatment,7.50088245675962e-05
428,Florida,St. Lucie,2003,21.0,212555.0,Treatment,9.879795817553103e-05
429,Florida,St. Lucie,2004,27.0,225240.0,Treatment,0.00011987213638785296
430,Florida,St. Lucie,2005,25.0,237569.0,Treatment,0.0001052325850594985
431,Florida,St. Lucie,2006,28.0,249741.0,Treatment,0.00011211615233381784
432,Florida,St. Lucie,2007,46.0,260461.0,Treatment,0.00017660993392484863
433,Florida,St. Lucie,2008,34.0,265646.0,Treatment,0.00012798988127056307
434,Florida,St. Lucie,2009,46.0,266502.0,Treatment,0.00017260658456596948
435,Florida,St. Lucie,2010,43.0,277789.0,Treatment,0.00015479374633264816
436,Florida,St. Lucie,2011,40.0,280764.0,Treatment,0.0001424684076306079
437,Florida,St. Lucie,2012,29.0,283525.0,Treatment,0.0001022837492284631
438,Florida,St. Lucie,2013,33.0,286223.0,Treatment,0.00011529471775503715
439,Florida,St. Lucie,2014,39.0,290957.0,Treatment,0.000134040425217472
440,Florida,St. Lucie,2015,51.0,298563.0,Treatment,0.00017081821927030476
441,Florida,Sumter,2015,12.0,118891.0,Treatment,0.00010093278717480718
442,Florida,Volusia,2003,48.0,465989.0,Treatment,0.00010300672333467099
443,Florida,Volusia,2004,74.0,476695.0,Treatment,0.00015523552795812837
444,Florida,Volusia,2005,85.0,485940.0,Treatment,0.00017491871424455695
445,Florida,Volusia,2006,80.0,494302.0,Treatment,0.00016184437853781697
446,Florida,Volusia,2007,82.0,498769.0,Treatment,0.00016440476453027353
447,Florida,Volusia,2008,101.0,497344.0,Treatment,0.00020307875434307039
