State,County,MME,Population,Year,Treatment,_merge,Prescr_rate
Florida,Citrus,1639166147291.331,139256.0,2012,Treatment,both,11770883.46133259
Florida,Citrus,1268382384560.0703,138985.0,2013,Treatment,both,9126037.950570712
Florida,Citrus,1064984557107.1986,139217.0,2014,Treatment,both,7649816.883765622
Florida,Clay,1318125480231.8855,176720.0,2006,Treatment,both,7458835.899908814
Florida,Clay,1834971110786.533,182392.0,2007,Treatment,both,10060589.887640538
Florida,Clay,2191170306794.9243,185102.0,2008,Treatment,both,11837637.123288373
Florida,Clay,2731687795638.564,186756.0,2009,Treatment,both,14627041.67811778
Florida,Clay,3197579100595.1265,190865.0,2010,Treatment,both,16753093.026983084
Florida,Clay,3324589345396.8784,192340.0,2011,Treatment,both,17284960.72266236
Florida,Clay,3096077181273.678,194341.0,2012,Treatment,both,15931158.022618378
Florida,Clay,2476028873612.9546,196559.0,2013,Treatment,both,12596873.577973813
Florida,Clay,1738707018332.0437,199876.0,2014,Treatment,both,8698928.427285135
Florida,Collier,2614821820606.316,311650.0,2006,Treatment,both,8390251.309502056
Florida,Collier,3273790698385.0586,313463.0,2007,Treatment,both,10443946.17031375
Florida,Collier,3759288343038.381,315533.0,2008,Treatment,both,11914089.3124915
Florida,Collier,5181679049378.408,318537.0,2009,Treatment,both,16267118.26060523
Florida,Collier,6157031915821.158,321520.0,2010,Treatment,both,19149763.36097648
Florida,Collier,4965551673168.862,327742.0,2011,Treatment,both,15150794.445536008
Florida,Collier,3281630031311.942,332515.0,2012,Treatment,both,9869118.780542057
Florida,Collier,3000834739440.023,339537.0,2013,Treatment,both,8838019.831240846
Florida,Collier,2519724736206.002,348355.0,2014,Treatment,both,7233209.617218073
Florida,Columbia,187244331496.56845,66975.0,2006,Treatment,both,2795734.699463508
Florida,Columbia,200991565508.1473,67927.0,2007,Treatment,both,2958934.819852891
Florida,Columbia,297605325153.45624,68901.0,2008,Treatment,both,4319317.936654856
Florida,Columbia,358475604798.0446,69264.0,2009,Treatment,both,5175496.719768489
Florida,Columbia,543796016113.4328,67531.0,2010,Treatment,both,8052539.07262491
Florida,Columbia,516397039674.0,67307.0,2011,Treatment,both,7672263.504152614
Florida,Columbia,490468369409.36993,67911.0,2012,Treatment,both,7222222.753447453
