,State,County,Year,Treatment,death_prop
92,Texas,Haskell,2003,Treatment,9.957723901047215e-05
93,Texas,Hays,2003,Treatment,8.592615506233942e-05
94,Texas,Hemphill,2003,Treatment,9.959984016026575e-05
95,Texas,Henderson,2003,Treatment,9.88835192991994e-05
96,Texas,Hidalgo,2003,Treatment,1.594479274958384e-05
97,Texas,Hill,2003,Treatment,9.929949946016043e-05
98,Texas,Hockley,2003,Treatment,9.94105250479681e-05
99,Texas,Hood,2003,Treatment,9.919510692451488e-05
100,Texas,Hopkins,2003,Treatment,9.931476523462177e-05
101,Texas,Houston,2003,Treatment,9.940820347971136e-05
102,Texas,Howard,2003,Treatment,9.931373125884356e-05
103,Texas,Hudspeth,2003,Treatment,9.960026935775857e-05
104,Texas,Hunt,2003,Treatment,9.884961269726479e-05
105,Texas,Hutchinson,2003,Treatment,9.941123712562668e-05
106,Texas,Irion,2003,Treatment,9.961485231802676e-05
107,Texas,Jack,2003,Treatment,9.954589783900615e-05
108,Texas,Jackson,2003,Treatment,9.949384788851048e-05
109,Texas,Jasper,2003,Treatment,9.928797940927299e-05
110,Texas,Jeff Davis,2003,Treatment,9.961020918151327e-05
111,Texas,Jim Hogg,2003,Treatment,9.958244790731712e-05
112,Texas,Jim Wells,2003,Treatment,9.924010437984406e-05
113,Texas,Johnson,2003,Treatment,7.237199203908088e-05
114,Texas,Jones,2003,Treatment,9.943758399899416e-05
115,Texas,Karnes,2003,Treatment,9.94836056756131e-05
116,Texas,Kaufman,2003,Treatment,9.883679529941035e-05
117,Texas,Kendall,2003,Treatment,9.937609170365593e-05
118,Texas,Kenedy,2003,Treatment,9.962767947036967e-05
119,Texas,Kent,2003,Treatment,9.962419711798457e-05
120,Texas,Kerr,2003,Treatment,9.919377055959397e-05
121,Texas,Kimble,2003,Treatment,9.958808600165492e-05
122,Texas,King,2003,Treatment,9.962867442819399e-05
123,Texas,Kinney,2003,Treatment,9.95995865435654e-05
124,Texas,Kleberg,2003,Treatment,9.932830446462327e-05
125,Texas,Knox,2003,Treatment,9.959383139536593e-05
126,Texas,Lamar,2003,Treatment,9.915366010299011e-05
127,Texas,Lamb,2003,Treatment,9.949055087140636e-05
128,Texas,Lampasas,2003,Treatment,9.94462459847588e-05
129,Texas,La Salle,2003,Treatment,9.957461505307273e-05
130,Texas,Lavaca,2003,Treatment,9.944748480479497e-05
131,Texas,Lee,2003,Treatment,9.947351953453128e-05
132,Texas,Leon,2003,Treatment,9.947747010236313e-05
133,Texas,Liberty,2003,Treatment,9.891269497422424e-05
134,Texas,Limestone,2003,Treatment,9.941328556820617e-05
135,Texas,Lipscomb,2003,Treatment,9.96022202554533e-05
136,Texas,Live Oak,2003,Treatment,9.951773663078259e-05
137,Texas,Llano,2003,Treatment,9.945729782019951e-05
138,Texas,Loving,2003,Treatment,9.963113255928936e-05
139,Texas,Lynn,2003,Treatment,9.95718057603923e-05
140,Texas,McCulloch,2003,Treatment,9.955470614209791e-05
141,Texas,McLennan,2003,Treatment,4.556120008201016e-05
142,Texas,McMullen,2003,Treatment,9.962348504032598e-05
143,Texas,Madison,2003,Treatment,9.950550450223655e-05
144,Texas,Marion,2003,Treatment,9.952465256311043e-05
145,Texas,Martin,2003,Treatment,9.958760803171971e-05
146,Texas,Mason,2003,Treatment,9.959485561665566e-05
147,Texas,Matagorda,2003,Treatment,9.926268602066067e-05
148,Texas,Maverick,2003,Treatment,9.91541478274138e-05
149,Texas,Medina,2003,Treatment,9.92299597118314e-05
150,Texas,Menard,2003,Treatment,9.960942882243538e-05
151,Texas,Midland,2003,Treatment,8.477665590003137e-05
152,Texas,Milam,2003,Treatment,9.938987479586928e-05
153,Texas,Mills,2003,Treatment,9.95831209670218e-05
154,Texas,Mitchell,2003,Treatment,9.954059139727646e-05
155,Texas,Montague,2003,Treatment,9.944359276389396e-05
156,Texas,Moore,2003,Treatment,9.943754498104027e-05
157,Texas,Morris,2003,Treatment,9.95045583168546e-05
158,Texas,Motley,2003,Treatment,9.961860779608913e-05
159,Texas,Nacogdoches,2003,Treatment,9.9047423969023e-05
160,Texas,Navarro,2003,Treatment,9.917290570874873e-05
161,Texas,Newton,2003,Treatment,9.948868776410789e-05
162,Texas,Nolan,2003,Treatment,9.948530295660751e-05
163,Texas,Ochiltree,2003,Treatment,9.954550765946721e-05
164,Texas,Oldham,2003,Treatment,9.961082371428712e-05
165,Texas,Palo Pinto,2003,Treatment,9.936693223897914e-05
166,Texas,Panola,2003,Treatment,9.940869120413506e-05
167,Texas,Parmer,2003,Treatment,9.95357141530396e-05
168,Texas,Pecos,2003,Treatment,9.947630931823476e-05
169,Texas,Polk,2003,Treatment,9.919206352411108e-05
170,Texas,Potter,2003,Treatment,8.507090660065164e-05
171,Texas,Presidio,2003,Treatment,9.955837382976402e-05
172,Texas,Rains,2003,Treatment,9.953042722028686e-05
173,Texas,Randall,2003,Treatment,9.360316004268304e-05
174,Texas,Reagan,2003,Treatment,9.960223976443026e-05
175,Texas,Real,2003,Treatment,9.960259092601531e-05
176,Texas,Red River,2003,Treatment,9.949814961792738e-05
177,Texas,Reeves,2003,Treatment,9.951436157777066e-05
178,Texas,Refugio,2003,Treatment,9.95584518656718e-05
179,Texas,Roberts,2003,Treatment,9.962387521986494e-05
180,Texas,Robertson,2003,Treatment,9.947782126394819e-05
181,Texas,Rockwall,2003,Treatment,9.910037133245825e-05
182,Texas,Runnels,2003,Treatment,9.952694486790174e-05
183,Texas,Rusk,2003,Treatment,9.917031101481472e-05
184,Texas,Sabine,2003,Treatment,9.953089543573361e-05
185,Texas,San Augustine,2003,Treatment,9.954533207867468e-05
186,Texas,San Jacinto,2003,Treatment,9.94004681703517e-05
187,Texas,San Patricio,2003,Treatment,9.89768404904273e-05
188,Texas,San Saba,2003,Treatment,9.957327868815184e-05
189,Texas,Schleicher,2003,Treatment,9.960476617694493e-05
190,Texas,Scurry,2003,Treatment,9.94782992338834e-05
191,Texas,Shackelford,2003,Treatment,9.960005475901215e-05
192,Texas,Shelby,2003,Treatment,9.937982767274136e-05
193,Texas,Sherman,2003,Treatment,9.96017130220527e-05
194,Texas,Smith,2003,Treatment,5.4541983691946874e-05
195,Texas,Somervell,2003,Treatment,9.956117336795597e-05
196,Texas,Starr,2003,Treatment,9.907261981275057e-05
197,Texas,Stephens,2003,Treatment,9.954031827159919e-05
198,Texas,Sterling,2003,Treatment,9.961877362239318e-05
199,Texas,Stonewall,2003,Treatment,9.961777866456888e-05
200,Texas,Sutton,2003,Treatment,9.959248527595655e-05
201,Texas,Swisher,2003,Treatment,9.955409160932407e-05
202,Texas,Terrell,2003,Treatment,9.962189505870477e-05
203,Texas,Terry,2003,Treatment,9.951065487215065e-05
204,Texas,Throckmorton,2003,Treatment,9.961520347961181e-05
205,Texas,Titus,2003,Treatment,9.935413435010164e-05
206,Texas,Trinity,2003,Treatment,9.949496965468495e-05
207,Texas,Tyler,2003,Treatment,9.943275552719966e-05
208,Texas,Upshur,2003,Treatment,9.927178695840664e-05
209,Texas,Upton,2003,Treatment,9.960111799825578e-05
210,Texas,Uvalde,2003,Treatment,9.937428712328831e-05
